,PS_C,PS_F,Vainqueur,Proba_Favori,Proba_Challenger
15209,21.0,1.03,favori,0.9308513,0.06914872
15210,4.55,1.25,challenger,0.7379846,0.2620154
15211,4.26,1.27,favori,0.71328765,0.28671235
15212,1.77,2.2,challenger,0.55678153,0.44321847
15213,1.26,4.43,favori,0.30626774,0.69373226
15214,6.73,1.15,favori,0.7783287,0.22167128
15215,2.23,1.75,challenger,0.54607147,0.45392853
15216,3.25,1.4,favori,0.6330503,0.36694968
15217,2.96,1.47,challenger,0.59526706,0.40473294
15218,14.8,1.05,favori,0.829383,0.17061698
15219,7.29,1.12,favori,0.84114546,0.15885454
15220,2.38,1.67,favori,0.5336241,0.4663759
15221,21.0,1.03,favori,0.9429291,0.05707091
15222,15.75,1.04,favori,0.91836894,0.081631064
15223,7.65,1.13,favori,0.75438315,0.24561685
15224,7.94,1.12,favori,0.8121835,0.1878165
15225,2.25,1.74,favori,0.3881539,0.6118461
15226,2.06,1.88,challenger,0.38307709,0.6169229
15227,3.98,1.29,favori,0.5097414,0.49025857
15228,2.35,1.66,favori,0.66196907,0.33803093
15229,2.98,1.44,favori,0.5576562,0.44234377
15230,3.62,1.33,favori,0.6216153,0.3783847
15231,2.48,1.6,favori,0.534232,0.46576798
15232,2.49,1.59,favori,0.5189461,0.4810539
15233,2.18,1.75,favori,0.59236383,0.40763617
