,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
24907,3.05,1.43,favori,favori,0.43408757,0.5659124
24908,2.41,1.64,challenger,favori,0.38994932,0.6100507
24909,8.2,1.11,favori,favori,0.2591191,0.7408809
24910,3.85,1.31,favori,favori,0.40183336,0.59816664
24911,2.34,1.68,favori,challenger,0.5440556,0.45594445
24912,2.64,1.55,favori,favori,0.40792954,0.59207046
24913,3.28,1.39,favori,favori,0.09848201,0.901518
24914,1.59,2.52,challenger,favori,0.4665277,0.5334723
24915,13.89,1.05,favori,favori,0.12128216,0.87871784
24916,9.87,1.08,favori,favori,0.14375514,0.85624486
24917,3.14,1.42,favori,favori,0.39945638,0.6005436
24918,41.0,1.01,favori,favori,0.05400026,0.94599974
24919,5.11,1.21,favori,favori,0.13876891,0.8612311
24920,5.0,1.21,favori,favori,0.24001032,0.7599897
24921,21.68,1.02,favori,favori,0.047219753,0.95278025
24922,1.87,2.04,challenger,favori,0.45764077,0.54235923
24923,2.33,1.68,favori,favori,0.4573347,0.5426653
24924,4.55,1.24,favori,favori,0.2301932,0.7698068
24925,2.4,1.65,favori,favori,0.16306216,0.83693784
24926,10.16,1.08,favori,favori,0.12590706,0.87409294
24927,5.85,1.17,challenger,favori,0.1703319,0.8296681
24928,10.44,1.08,favori,favori,0.09408361,0.9059164
24929,3.11,1.42,favori,favori,0.24559045,0.75440955
24930,15.92,1.04,favori,favori,0.111132085,0.8888679
24931,41.0,1.01,favori,favori,0.022668958,0.97733104
24932,3.79,1.32,favori,favori,0.24620849,0.7537915
24933,7.5,1.13,favori,favori,0.23797965,0.76202035
24934,20.5,1.03,favori,favori,0.0613963,0.9386037
24935,2.94,1.46,challenger,favori,0.22017038,0.7798296
24936,4.65,1.24,favori,favori,0.23778534,0.76221466
24937,10.16,1.08,favori,favori,0.12155628,0.8784437
24938,4.22,1.27,favori,favori,0.38553458,0.6144654
24939,2.7,1.53,favori,favori,0.26608646,0.73391354
24940,4.26,1.27,favori,favori,0.31108165,0.68891835
24941,6.93,1.14,favori,favori,0.21594894,0.78405106
24942,6.16,1.16,favori,favori,0.209463,0.790537
24943,3.22,1.4,favori,favori,0.1952923,0.8047077
24944,2.9,1.47,favori,favori,0.3672676,0.6327324
24945,3.01,1.44,favori,favori,0.28718418,0.7128158
24946,41.0,1.01,favori,favori,0.021118164,0.97888184
24947,3.35,1.36,favori,favori,0.29255515,0.70744485
24948,31.0,1.01,favori,favori,0.043328762,0.95667124
24949,5.12,1.21,favori,favori,0.42119038,0.5788096
24950,5.24,1.2,favori,favori,0.23329335,0.76670665
24951,2.2,1.75,challenger,favori,0.2802868,0.7197132
24952,10.44,1.08,favori,favori,0.11620557,0.8837944
24953,6.16,1.16,favori,favori,0.21172148,0.7882785
24954,3.9,1.3,challenger,favori,0.37781876,0.62218124
24955,1.26,4.34,challenger,favori,0.43446892,0.5655311
24956,3.67,1.34,challenger,favori,0.40430146,0.59569854
24957,5.77,1.18,favori,favori,0.137169,0.862831
24958,2.74,1.53,favori,favori,0.1779564,0.8220436
24959,1.79,2.17,favori,favori,0.4570892,0.5429108
24960,2.7,1.54,challenger,favori,0.27509135,0.72490865
24961,10.36,1.08,favori,favori,0.05143231,0.9485677
24962,16.32,1.04,favori,favori,0.075674474,0.9243255
24963,6.55,1.15,favori,favori,0.123351455,0.87664855
24964,2.31,1.7,favori,favori,0.23538435,0.76461565
24965,41.0,1.01,favori,favori,0.02687198,0.973128
24966,3.21,1.41,favori,challenger,0.50417954,0.49582046
24967,5.61,1.19,favori,favori,0.31283218,0.6871678
24968,4.72,1.24,favori,favori,0.27175033,0.72824967
24969,2.87,1.49,favori,favori,0.32400525,0.67599475
24970,5.01,1.22,challenger,favori,0.13739085,0.86260915
24971,8.03,1.12,favori,favori,0.14846152,0.8515385
24972,9.81,1.09,favori,favori,0.09083068,0.9091693
24973,3.22,1.41,challenger,favori,0.27132696,0.72867304
24974,14.73,1.03,favori,favori,0.028538406,0.9714616
24975,2.65,1.51,favori,favori,0.21515357,0.7848464
24976,1.69,2.23,favori,favori,0.32273328,0.6772667
24977,4.44,1.23,favori,favori,0.21082044,0.78917956
24978,3.61,1.35,favori,favori,0.24222094,0.75777906
24979,7.66,1.12,favori,favori,0.13115609,0.8688439
24980,9.9,1.07,favori,favori,0.13469845,0.86530155
24981,1.67,2.37,challenger,challenger,0.5968187,0.40318134
24982,2.18,1.8,favori,favori,0.2704422,0.7295578
24983,8.75,1.11,favori,favori,0.11456293,0.8854371
24984,3.67,1.35,favori,favori,0.42984915,0.57015085
24985,1.76,2.16,favori,challenger,0.5001042,0.49989584
24986,3.67,1.32,favori,favori,0.35177845,0.64822155
24987,2.87,1.47,favori,favori,0.29970878,0.7002912
24988,1.81,2.1,challenger,challenger,0.53190005,0.46809992
24989,1.76,2.16,challenger,favori,0.47830522,0.5216948
24990,3.82,1.3,favori,favori,0.22133386,0.77866614
24991,3.14,1.41,challenger,favori,0.29743785,0.70256215
24992,4.23,1.26,challenger,favori,0.22003931,0.7799607
24993,1.45,2.94,challenger,challenger,0.6119411,0.38805893
24994,1.68,2.3,challenger,favori,0.34058356,0.65941644
24995,3.0,1.44,challenger,favori,0.2985525,0.7014475
24996,3.67,1.32,favori,challenger,0.55245614,0.44754386
24997,1.93,1.96,challenger,challenger,0.63380766,0.36619234
24998,3.34,1.37,challenger,favori,0.39278328,0.6072167
24999,1.35,3.45,challenger,challenger,0.5024694,0.49753055
25000,1.47,2.86,challenger,favori,0.46631098,0.533689
25001,2.76,1.5,favori,favori,0.4130183,0.5869817
25002,2.8,1.49,favori,favori,0.42776686,0.57223314
25003,2.2,1.74,challenger,challenger,0.6076056,0.39239445
25004,1.85,2.04,challenger,challenger,0.5231348,0.4768652
25005,4.02,1.29,favori,favori,0.4795283,0.5204717
25006,5.68,1.18,favori,favori,0.23701757,0.7629824
25007,1.42,3.02,challenger,challenger,0.54283524,0.4571648
25008,4.72,1.23,favori,favori,0.308999,0.691001
25009,3.32,1.37,favori,favori,0.39494556,0.60505444
25010,4.73,1.23,challenger,favori,0.24323577,0.75676423
25011,2.8,1.5,challenger,favori,0.34600192,0.6539981
25012,2.35,1.67,favori,challenger,0.5588558,0.44114423
25013,9.0,1.11,favori,favori,0.07142973,0.9285703
25014,2.74,1.49,favori,favori,0.1308052,0.8691948
25015,1.18,5.76,challenger,challenger,0.71090186,0.2890981
25016,3.33,1.38,favori,favori,0.17600602,0.823994
25017,3.34,1.38,favori,favori,0.19382674,0.80617326
25018,4.03,1.29,favori,favori,0.16443926,0.83556074
25019,3.28,1.39,favori,favori,0.32419312,0.6758069
25020,2.61,1.56,favori,favori,0.495004,0.504996
25021,1.96,1.9,challenger,favori,0.4518957,0.5481043
