,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
26034,8.04,1.11,favori,favori,0.1485104,0.8514896
26035,9.28,1.09,favori,favori,0.13421428,0.8657857
26036,2.33,1.68,favori,favori,0.31271684,0.68728316
26037,3.4,1.36,favori,favori,0.33500642,0.6649936
26038,1.41,3.14,favori,challenger,0.6175801,0.38241988
26039,15.74,1.04,favori,favori,0.032227874,0.9677721
26040,2.2,1.75,favori,favori,0.4841919,0.5158081
26041,3.8,1.31,favori,favori,0.26111823,0.73888177
26042,2.3,1.68,favori,favori,0.3305043,0.6694957
26043,2.58,1.56,favori,favori,0.27947897,0.72052103
26044,2.8,1.5,favori,favori,0.37383378,0.6261662
26045,3.35,1.38,challenger,favori,0.28156978,0.7184302
26046,8.67,1.1,favori,favori,0.07315755,0.92684245
26047,3.35,1.38,favori,favori,0.34365505,0.65634495
26048,1.44,3.01,challenger,challenger,0.576334,0.42366597
26049,4.99,1.21,favori,favori,0.14604521,0.8539548
26050,1.48,2.87,challenger,challenger,0.64037216,0.35962784
26051,4.01,1.29,favori,favori,0.42704415,0.57295585
26052,3.21,1.4,challenger,favori,0.3059401,0.6940599
26053,1.78,2.16,favori,favori,0.35816872,0.6418313
26054,4.18,1.27,favori,favori,0.30383205,0.69616795
26055,2.2,1.77,favori,favori,0.331734,0.668266
26056,5.01,1.22,favori,favori,0.29992944,0.70007056
26057,2.18,1.78,favori,favori,0.48132026,0.51867974
26058,7.65,1.13,favori,favori,0.078550816,0.9214492
26059,5.37,1.2,favori,favori,0.31748617,0.68251383
26060,3.41,1.38,challenger,favori,0.16182417,0.83817583
26061,1.78,2.19,favori,favori,0.36238414,0.63761586
26062,3.84,1.32,favori,favori,0.26709807,0.73290193
26063,3.61,1.35,favori,favori,0.24446052,0.7555395
26064,5.37,1.2,favori,favori,0.18054736,0.81945264
26065,3.06,1.44,favori,favori,0.3624397,0.6375603
26066,2.4,1.66,challenger,favori,0.33134127,0.66865873
26067,6.35,1.16,favori,favori,0.16140872,0.8385913
26068,2.43,1.63,favori,favori,0.378601,0.621399
26069,1.84,2.08,favori,favori,0.43564355,0.56435645
26070,1.43,3.05,challenger,favori,0.41339302,0.586607
26071,3.11,1.42,favori,favori,0.35134757,0.64865243
26072,3.2,1.4,favori,favori,0.33125204,0.66874796
26073,3.44,1.36,favori,favori,0.3561625,0.6438375
26074,2.34,1.68,favori,favori,0.4279638,0.5720362
26075,1.75,2.2,favori,favori,0.49456984,0.50543016
26076,3.01,1.44,favori,favori,0.4377706,0.5622294
26077,3.22,1.4,favori,favori,0.3154654,0.6845346
26078,3.64,1.33,favori,favori,0.24354607,0.75645393
26079,3.05,1.43,favori,favori,0.30232388,0.6976761
26080,3.48,1.36,favori,favori,0.33871937,0.66128063
26081,2.38,1.65,favori,favori,0.42090952,0.5790905
26082,2.58,1.57,favori,favori,0.40270507,0.5972949
26083,2.12,1.81,favori,favori,0.33538008,0.6646199
26084,1.75,2.2,challenger,challenger,0.6367159,0.3632841
26085,2.3,1.69,favori,favori,0.32903737,0.67096263
26086,8.13,1.11,favori,favori,0.09005147,0.9099485
26087,3.74,1.32,challenger,favori,0.096791446,0.90320855
26088,1.93,1.97,challenger,challenger,0.5298276,0.4701724
26089,10.99,1.07,favori,favori,0.03921479,0.9607852
26090,1.74,2.23,favori,challenger,0.50986993,0.4901301
