,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
13586,2.01,1.93,favori,favori,0.4634881,0.5365119
13587,2.69,1.54,challenger,favori,0.23751199,0.762488
13588,5.33,1.2,favori,favori,0.18868071,0.8113193
13589,1.85,2.09,favori,challenger,0.549183,0.450817
13590,2.56,1.58,favori,favori,0.43156725,0.56843275
13591,12.0,1.06,favori,favori,0.06318855,0.93681145
13592,6.5,1.16,favori,favori,0.11986768,0.8801323
13593,2.75,1.52,favori,favori,0.4565453,0.5434547
13594,2.55,1.6,challenger,favori,0.4963053,0.5036947
13595,2.31,1.7,challenger,favori,0.34714925,0.65285075
13596,3.63,1.34,favori,favori,0.18226522,0.8177348
13597,2.6,1.57,favori,favori,0.27831143,0.72168857
13598,4.09,1.29,challenger,favori,0.14853132,0.8514687
13599,3.18,1.42,favori,favori,0.3380038,0.6619962
13600,2.06,1.88,favori,favori,0.4241234,0.5758766
13601,4.01,1.3,favori,favori,0.23254412,0.7674559
13602,1.74,2.24,challenger,favori,0.4334839,0.5665161
13603,6.16,1.17,favori,favori,0.12558204,0.87441796
13604,3.62,1.34,favori,favori,0.23428112,0.7657189
13605,2.56,1.59,favori,favori,0.2606253,0.7393747
13606,8.5,1.11,favori,favori,0.11677712,0.8832229
13607,9.05,1.1,favori,favori,0.1500696,0.8499304
13608,4.09,1.29,challenger,favori,0.26966673,0.73033327
13609,5.98,1.17,favori,favori,0.16959769,0.8304023
13610,2.55,1.6,challenger,favori,0.42563474,0.57436526
13611,3.46,1.38,favori,favori,0.28466105,0.71533895
13612,1.76,2.21,favori,favori,0.33764386,0.66235614
13613,1.52,2.78,challenger,favori,0.49154472,0.5084553
13614,2.25,1.74,challenger,challenger,0.5229099,0.47709012
13615,2.55,1.6,favori,favori,0.38660604,0.61339396
13616,1.99,1.93,favori,challenger,0.50086844,0.49913153
13617,2.53,1.6,favori,favori,0.23436451,0.7656355
13618,2.58,1.58,challenger,favori,0.32297963,0.6770204
13619,1.48,2.9,challenger,challenger,0.62836075,0.37163922
13620,2.11,1.83,challenger,challenger,0.5682657,0.43173432
13621,2.17,1.79,favori,favori,0.4932428,0.5067572
13622,2.04,1.88,challenger,challenger,0.5551287,0.4448713
13623,1.8,2.15,challenger,challenger,0.55030394,0.44969603
13624,3.55,1.35,favori,favori,0.37255776,0.62744224
13625,3.27,1.4,favori,challenger,0.5074874,0.49251255
13626,2.45,1.64,challenger,favori,0.40437865,0.59562135
13627,2.38,1.67,favori,challenger,0.5533258,0.44667426
13628,2.34,1.69,favori,challenger,0.59530926,0.4046907
13629,2.36,1.68,favori,challenger,0.5436915,0.45630848
13630,2.39,1.66,challenger,favori,0.34095937,0.65904063
13631,2.9,1.49,favori,favori,0.30476367,0.6952363
13632,2.3,1.71,challenger,challenger,0.60081327,0.39918673
13633,7.83,1.12,favori,favori,0.107375324,0.8926247
13634,1.98,1.94,favori,challenger,0.59539944,0.40460056
13635,3.71,1.33,favori,favori,0.49436367,0.50563633
13636,1.45,3.03,challenger,challenger,0.5318172,0.46818283
13637,2.2,1.76,challenger,favori,0.49435097,0.50564903
13638,1.58,2.59,challenger,challenger,0.5331541,0.46684593
13639,3.27,1.4,favori,favori,0.35762423,0.64237577
13640,1.49,2.86,challenger,challenger,0.53975284,0.46024713
13641,2.54,1.6,favori,favori,0.36244762,0.6375524
13642,2.38,1.67,challenger,favori,0.32711095,0.67288905
13643,1.53,2.74,favori,challenger,0.6293294,0.37067062
13644,2.26,1.73,favori,challenger,0.5279482,0.4720518
13645,1.77,2.2,challenger,favori,0.39779663,0.60220337
13646,3.28,1.4,favori,favori,0.46353942,0.5364606
13647,4.42,1.26,favori,favori,0.22953862,0.7704614
13648,2.04,1.88,challenger,favori,0.3460704,0.6539296
13649,2.42,1.65,favori,challenger,0.62062776,0.37937227
13650,3.63,1.34,favori,favori,0.25444663,0.7455534
13651,2.09,1.85,challenger,challenger,0.53022945,0.46977055
13652,1.48,2.89,challenger,challenger,0.6326285,0.3673715
13653,3.8,1.32,challenger,favori,0.24565125,0.75434875
13654,1.35,3.55,challenger,challenger,0.62468994,0.37531006
13655,3.32,1.39,favori,favori,0.18702316,0.81297684
13656,5.05,1.22,challenger,favori,0.29147023,0.7085298
13657,2.18,1.78,challenger,favori,0.44264185,0.55735815
13658,3.19,1.42,favori,favori,0.31638473,0.68361527
13659,2.23,1.75,challenger,favori,0.42222977,0.57777023
13660,2.47,1.63,favori,favori,0.43711215,0.56288785
13661,1.94,1.98,challenger,challenger,0.50767434,0.49232566
13662,2.16,1.79,challenger,favori,0.43818653,0.5618135
13663,3.87,1.31,favori,favori,0.1456495,0.8543505
13664,2.04,1.87,favori,favori,0.49809605,0.50190395
13665,3.64,1.34,favori,favori,0.29135364,0.70864636
13666,2.91,1.48,favori,favori,0.45831412,0.5416859
13667,2.53,1.6,favori,favori,0.25871968,0.7412803
13668,13.85,1.05,favori,favori,0.08310211,0.9168979
13669,2.41,1.65,favori,favori,0.42007035,0.57992965
13670,2.37,1.67,favori,favori,0.29224008,0.7077599
13671,4.39,1.26,challenger,favori,0.24316496,0.75683504
13672,5.21,1.21,challenger,favori,0.13061017,0.86938983
13673,2.15,1.8,favori,favori,0.42192096,0.57807904
13674,2.8,1.51,favori,favori,0.2490381,0.7509619
13675,2.92,1.48,favori,favori,0.484074,0.515926
13676,4.47,1.26,favori,favori,0.4084955,0.5915045
13677,1.98,1.94,challenger,favori,0.46189964,0.53810036
13678,2.65,1.56,challenger,favori,0.4010275,0.5989725
13679,2.74,1.53,favori,favori,0.29155105,0.70844895
13680,2.83,1.5,challenger,favori,0.3712756,0.6287244
13681,4.89,1.23,favori,favori,0.19726002,0.80274
