,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
27813,2.55,1.58,favori,favori,0.4614917,0.5385083
27814,3.14,1.42,favori,favori,0.24017215,0.75982785
27815,3.92,1.3,favori,favori,0.24681902,0.753181
27816,2.85,1.49,favori,favori,0.26704836,0.73295164
27817,1.99,1.92,challenger,favori,0.46873295,0.53126705
27818,2.71,1.53,challenger,favori,0.35266966,0.64733034
27819,1.8,2.13,favori,challenger,0.6117047,0.38829532
27820,4.61,1.24,favori,favori,0.28112882,0.7188712
27821,3.52,1.35,favori,favori,0.20379001,0.79621
27822,4.46,1.25,favori,favori,0.24403661,0.7559634
27823,3.89,1.3,favori,favori,0.2352156,0.7647844
27824,1.6,2.52,favori,favori,0.35973614,0.64026386
27825,7.04,1.13,favori,favori,0.16415775,0.83584225
27826,2.49,1.63,favori,favori,0.2637781,0.7362219
27827,1.51,2.75,favori,favori,0.378959,0.621041
27828,2.28,1.71,challenger,favori,0.2938094,0.7061906
27829,7.29,1.13,favori,favori,0.16770369,0.8322963
27830,2.86,1.48,challenger,favori,0.2989136,0.7010864
27831,1.74,2.23,favori,challenger,0.54648256,0.4535174
27832,3.79,1.31,favori,favori,0.33456957,0.6654304
27833,7.84,1.11,favori,favori,0.07742119,0.9225788
27834,4.38,1.26,favori,favori,0.22863436,0.77136564
27835,6.53,1.15,favori,favori,0.24928576,0.75071424
27836,1.47,2.89,challenger,challenger,0.5030553,0.49694473
27837,2.38,1.65,challenger,favori,0.3922816,0.6077184
27838,3.18,1.41,favori,favori,0.3056736,0.6943264
27839,20.5,1.03,favori,favori,0.04564923,0.95435077
27840,2.02,1.88,challenger,favori,0.46997166,0.53002834
27841,4.76,1.23,challenger,favori,0.27825868,0.7217413
27842,5.31,1.2,challenger,favori,0.12634647,0.87365353
27843,2.66,1.54,challenger,favori,0.3361681,0.6638319
27844,3.08,1.43,favori,favori,0.31067765,0.68932235
27845,13.84,1.06,favori,favori,0.10636073,0.89363927
27846,1.85,2.09,favori,favori,0.2677909,0.7322091
27847,1.82,2.13,challenger,challenger,0.57813716,0.42186287
27848,3.97,1.3,challenger,favori,0.31210977,0.68789023
27849,2.01,1.92,favori,favori,0.46295542,0.5370446
27850,1.98,1.94,favori,challenger,0.5104467,0.48955327
27851,2.75,1.51,challenger,favori,0.44123226,0.55876774
27852,5.32,1.2,challenger,favori,0.28881413,0.7111859
27853,2.86,1.48,challenger,favori,0.28130227,0.7186977
27854,1.88,2.05,favori,favori,0.4058931,0.5941069
27855,9.55,1.09,challenger,favori,0.044236302,0.9557637
