,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
14855,1.658,2.42,favori,favori,0.2631578947368421,0.7368421052631579
14856,1.156,6.8,favori,favori,0.3157894736842105,0.6842105263157895
14857,1.405,3.27,favori,favori,0.21052631578947367,0.7894736842105263
14858,1.422,3.17,favori,favori,0.15789473684210525,0.8421052631578947
14859,3.26,1.4069999999999998,challenger,favori,0.3684210526315789,0.631578947368421
14860,1.357,3.6,challenger,favori,0.3684210526315789,0.631578947368421
14861,1.654,2.43,favori,favori,0.3157894736842105,0.6842105263157895
14862,1.245,4.68,favori,challenger,0.5263157894736842,0.47368421052631576
14863,1.3159999999999998,3.86,favori,favori,0.2631578947368421,0.7368421052631579
14864,1.4409999999999998,3.07,challenger,favori,0.15789473684210525,0.8421052631578947
14865,3.55,1.364,challenger,challenger,0.5263157894736842,0.47368421052631576
14866,2.33,1.699,challenger,favori,0.3157894736842105,0.6842105263157895
14867,1.794,2.16,favori,challenger,0.7894736842105263,0.21052631578947367
14868,1.055,15.25,favori,favori,0.2631578947368421,0.7368421052631579
14869,1.629,2.49,favori,favori,0.47368421052631576,0.5263157894736842
14870,1.709,2.31,favori,favori,0.42105263157894735,0.5789473684210527
14871,1.388,3.38,favori,favori,0.05263157894736842,0.9473684210526315
14872,2.13,1.813,favori,favori,0.3157894736842105,0.6842105263157895
14873,1.935,1.971,favori,favori,0.3684210526315789,0.631578947368421
14874,1.061,14.0,favori,favori,0.47368421052631576,0.5263157894736842
14876,3.18,1.42,challenger,favori,0.10526315789473684,0.8947368421052632
14877,3.25,1.408,favori,favori,0.21052631578947367,0.7894736842105263
14878,2.68,1.5619999999999998,favori,challenger,0.5263157894736842,0.47368421052631576
14879,1.4,3.3,favori,favori,0.3157894736842105,0.6842105263157895
14880,1.476,2.9,favori,challenger,0.5789473684210527,0.42105263157894735
14881,1.249,4.61,challenger,favori,0.3157894736842105,0.6842105263157895
14882,1.565,2.67,favori,challenger,0.5263157894736842,0.47368421052631576
14883,1.267,4.45,favori,favori,0.42105263157894735,0.5789473684210527
14884,1.4409999999999998,3.07,challenger,challenger,0.7368421052631579,0.2631578947368421
14885,1.255,4.52,favori,favori,0.42105263157894735,0.5789473684210527
14886,1.03,26.0,favori,favori,0.15789473684210525,0.8421052631578947
14887,2.07,1.855,favori,favori,0.2631578947368421,0.7368421052631579
14888,1.588,2.6,favori,favori,0.3157894736842105,0.6842105263157895
14889,1.658,2.42,favori,favori,0.3157894736842105,0.6842105263157895
14890,1.4169999999999998,3.2,favori,favori,0.42105263157894735,0.5789473684210527
14891,1.3,4.03,favori,favori,0.10526315789473684,0.8947368421052632
14892,1.455,3.0,favori,favori,0.3157894736842105,0.6842105263157895
14893,1.046,17.85,favori,favori,0.3684210526315789,0.631578947368421
14894,1.485,2.86,challenger,favori,0.3684210526315789,0.631578947368421
14895,1.38,3.43,favori,challenger,0.5789473684210527,0.42105263157894735
14896,1.51,2.81,favori,challenger,0.631578947368421,0.3684210526315789
14897,1.452,3.01,favori,favori,0.05263157894736842,0.9473684210526315
14898,1.238,4.8,favori,favori,0.2631578947368421,0.7368421052631579
14899,1.633,2.48,challenger,challenger,0.5263157894736842,0.47368421052631576
14900,1.431,3.12,favori,challenger,0.5263157894736842,0.47368421052631576
14901,1.048,17.0,favori,favori,0.42105263157894735,0.5789473684210527
14902,1.016,43.5,favori,favori,0.3157894736842105,0.6842105263157895
14903,1.248,4.64,favori,favori,0.42105263157894735,0.5789473684210527
14904,1.588,2.6,challenger,favori,0.2631578947368421,0.7368421052631579
14905,1.408,3.25,favori,favori,0.2631578947368421,0.7368421052631579
14906,2.63,1.578,favori,challenger,0.5263157894736842,0.47368421052631576
14907,1.73,2.27,favori,favori,0.15789473684210525,0.8421052631578947
14908,1.152,6.98,favori,favori,0.2631578947368421,0.7368421052631579
14909,1.16,6.64,favori,favori,0.21052631578947367,0.7894736842105263
14910,1.909,2.0,challenger,favori,0.2631578947368421,0.7368421052631579
14911,1.179,6.1,favori,favori,0.3157894736842105,0.6842105263157895
14912,1.1,9.0,favori,favori,0.3684210526315789,0.631578947368421
14913,1.847,2.08,challenger,challenger,0.5263157894736842,0.47368421052631576
14914,1.382,3.42,challenger,favori,0.3684210526315789,0.631578947368421
14915,1.212,5.32,challenger,favori,0.21052631578947367,0.7894736842105263
14918,2.13,1.813,favori,favori,0.42105263157894735,0.5789473684210527
14919,1.893,2.02,challenger,challenger,0.5263157894736842,0.47368421052631576
14921,1.34,3.74,favori,favori,0.3684210526315789,0.631578947368421
14922,1.909,2.0,favori,favori,0.21052631578947367,0.7894736842105263
14923,1.293,4.11,challenger,favori,0.47368421052631576,0.5263157894736842
14924,1.234,4.88,favori,favori,0.42105263157894735,0.5789473684210527
14925,1.833,2.1,favori,favori,0.10526315789473684,0.8947368421052632
14928,1.255,4.52,challenger,challenger,0.6842105263157895,0.3157894736842105
14931,1.28,4.27,favori,challenger,0.631578947368421,0.3684210526315789
14932,2.3,1.714,challenger,challenger,0.5789473684210527,0.42105263157894735
14933,1.325,3.78,favori,favori,0.21052631578947367,0.7894736842105263
14935,1.617,2.52,challenger,favori,0.21052631578947367,0.7894736842105263
14936,1.69,2.35,favori,favori,0.15789473684210525,0.8421052631578947
14937,2.34,1.694,favori,favori,0.10526315789473684,0.8947368421052632
14938,1.483,2.87,favori,favori,0.3157894736842105,0.6842105263157895
14941,1.314,7.46,favori,challenger,0.6842105263157895,0.3157894736842105
14943,2.02,1.893,challenger,favori,0.47368421052631576,0.5263157894736842
14944,1.45,3.02,favori,favori,0.2631578947368421,0.7368421052631579
14945,1.2990000000000002,4.04,favori,challenger,0.5263157894736842,0.47368421052631576
14946,1.125,8.2,favori,challenger,0.631578947368421,0.3684210526315789
14947,1.22,5.15,favori,favori,0.21052631578947367,0.7894736842105263
14948,2.86,1.485,challenger,favori,0.3157894736842105,0.6842105263157895
14949,1.5590000000000002,2.69,favori,challenger,0.631578947368421,0.3684210526315789
14950,2.41,1.662,favori,favori,0.21052631578947367,0.7894736842105263
14951,1.25,4.6,favori,favori,0.2631578947368421,0.7368421052631579
14952,2.14,1.806,favori,favori,0.42105263157894735,0.5789473684210527
14953,1.111,8.75,favori,challenger,0.7368421052631579,0.2631578947368421
14956,1.375,3.47,favori,favori,0.21052631578947367,0.7894736842105263
